city,floorNumber,floorsTotal,totalArea,price,rooms
Санкт-Петербург,74,95.0,49.2,23000000,1
Иркутск,7,14.0,49.8,23900000,3
Краснодар,1,5.0,49.2,9900000,3
Санкт-Петербург,38,44.0,49.5,15500000,1
Краснодар,5,8.0,50.0,16000000,2
Санкт-Петербург,69,80.0,50.0,24500000,1
Краснодар,11,14.0,49.2,28500000,1
Краснодар,3,13.0,48.0,30750000,1
Краснодар,4,10.0,50.0,34650000,1
Краснодар,1,5.0,50.9,9800000,1
Иркутск,4,16.0,52.0,13300000,1
Санкт-Петербург,3,19.0,50.0,17690000,1
Краснодар,5,9.0,52.0,18500000,2
Краснодар,9,14.0,52.9,21300000,1
Иркутск,2,9.0,52.0,10500000,4
Ярославль,15,16.0,50.5,11400000,1
Краснодар,3,14.0,52.0,12000000,1
Краснодар,2,5.0,51.0,12300000,2
Ярославль,5,12.0,50.9,12499000,1
Иркутск,3,12.0,51.5,12890000,1
Краснодар,1,4.0,50.0,13200000,3
Краснодар,3,5.0,51.6,13490000,1
Ярославль,8,16.0,50.0,13700000,1
Краснодар,4,5.0,50.6,14990000,4
Краснодар,5,16.0,51.0,15700000,1
Краснодар,1,3.0,50.7,16800000,3
Санкт-Петербург,5,8.0,51.0,17340000,2
Ярославль,20,24.0,51.3,18500000,3
Краснодар,7,8.0,51.7,18700000,1
Краснодар,9,14.0,51.0,21650000,2
Санкт-Петербург,5,5.0,50.0,21900000,7
Санкт-Петербург,76,95.0,50.3,22700000,1
Ярославль,9,12.0,51.6,11600000,1
Санкт-Петербург,2,16.0,51.6,13200000,2
Ярославль,13,14.0,52.0,13700000,1
Санкт-Петербург,8,16.0,50.4,13850000,1
Краснодар,4,9.0,50.0,13900000,1
Краснодар,3,7.0,50.0,13950000,2
Иркутск,1,12.0,52.0,14500000,1
Краснодар,2,9.0,52.1,15200000,2
Москва,6,9.0,52.3,15610000,3
Санкт-Петербург,12,18.0,53.0,14700000,1
Иркутск,20,24.0,54.0,18990000,3
Краснодар,5,8.0,54.0,13000000,2
Краснодар,6,6.0,53.0,15000000,2
Санкт-Петербург,4,9.0,54.9,18500000,2
Санкт-Петербург,36,46.0,54.8,20500000,1
Краснодар,5,5.0,54.0,14000000,4
Санкт-Петербург,45,46.0,54.3,20500000,2
Ярославль,5,10.0,54.0,14500000,1
Краснодар,7,8.0,54.9,15500000,6
Иркутск,12,16.0,54.0,16500000,3
Москва,4,14.0,54.6,17799000,1
Краснодар,1,6.0,53.3,18990000,1
Санкт-Петербург,3,7.0,54.2,19182806,1
Санкт-Петербург,45,46.0,54.3,20000000,1
Краснодар,4,4.0,53.6,21999000,1
Санкт-Петербург,10,21.0,53.0,23900000,1
Краснодар,6,8.0,54.6,26800000,3
Краснодар,2,14.0,53.0,11350000,2
Иркутск,7,12.0,53.0,13990000,1
Краснодар,4,5.0,53.0,13950000,6
Санкт-Петербург,5,5.0,54.5,15500000,4
Краснодар,11,12.0,53.8,17000000,1
Санкт-Петербург,74,97.0,54.4,30000000,1
Краснодар,8,14.0,56.0,20100000,2
Санкт-Петербург,11,21.0,56.4,31000000,1
Санкт-Петербург,2,9.0,57.5,15300000,2
Краснодар,2,4.0,57.4,15250000,1
Краснодар,5,14.0,55.0,16300000,2
Санкт-Петербург,4,21.0,57.0,23000000,1
Санкт-Петербург,11,21.0,55.57,25950000,1
Краснодар,2,12.0,57.5,33000000,3
Краснодар,3,5.0,56.2,18300000,4
Краснодар,7,14.0,56.0,26300000,2
Краснодар,6,9.0,55.0,14300000,7
Иркутск,7,17.0,57.9,14500000,1
Ярославль,5,12.0,55.0,14500000,1
Санкт-Петербург,4,11.0,55.0,14990000,1
Санкт-Петербург,2,9.0,57.4,15300000,3
Санкт-Петербург,6,7.0,57.8,17300000,2
Санкт-Петербург,2,5.0,56.0,17600000,4
Краснодар,5,6.0,56.0,17900000,3
Москва,15,16.0,56.0,18500000,1
Краснодар,6,8.0,55.0,18900000,2
Иркутск,24,24.0,55.0,19100000,2
Краснодар,6,6.0,57.2,19900000,4
Санкт-Петербург,45,46.0,55.0,19998999,2
Краснодар,3,9.0,56.5,11000000,2
Краснодар,8,9.0,56.0,11800000,5
Краснодар,4,5.0,56.4,13100000,1
Краснодар,2,9.0,57.7,13500000,6
Санкт-Петербург,5,7.0,56.4,15000000,1
Ярославль,4,6.0,55.0,16500000,2
Санкт-Петербург,12,46.0,56.0,17000000,2
Краснодар,9,9.0,56.0,17500000,6
Краснодар,5,5.0,55.1,17700000,5
Краснодар,9,14.0,55.7,17600000,1
Краснодар,1,5.0,57.0,17950000,4
Санкт-Петербург,5,5.0,58.0,14990000,2
Санкт-Петербург,5,5.0,58.0,25500000,1
Иркутск,8,9.0,58.0,10700000,4
Москва,2,8.0,58.0,13450000,5
Санкт-Петербург,11,15.0,58.4,16988000,2
Краснодар,4,8.0,58.0,17200000,1
Краснодар,2,8.0,59.0,18890000,1
Санкт-Петербург,1,9.0,59.2,20128000,1
Краснодар,4,9.0,58.4,22500000,5
Иркутск,4,9.0,58.4,22500000,7
Санкт-Петербург,3,14.0,58.1,38000000,1
Краснодар,2,16.0,58.0,15700000,1
Краснодар,3,8.0,60.0,19800000,4
Краснодар,7,9.0,58.0,20850000,2
Санкт-Петербург,4,7.0,60.0,21000000,3
Санкт-Петербург,9,25.0,58.7,21300000,1
Иркутск,11,14.0,59.4,23000000,3
Краснодар,3,4.0,60.0,26000000,2
Санкт-Петербург,4,10.0,58.0,35600000,1
Краснодар,7,10.0,58.0,19800000,4
Санкт-Петербург,2,6.0,62.0,36900000,2
Москва,5,5.0,62.0,24940000,1
Краснодар,5,5.0,62.0,24950000,1
Санкт-Петербург,9,79.0,62.0,27192000,1
Санкт-Петербург,7,79.0,62.0,27013500,1
Краснодар,6,8.0,60.0,22200000,2
Санкт-Петербург,8,11.0,62.9,41000000,1
Краснодар,1,4.0,61.7,18500000,4
Краснодар,1,7.0,60.0,19000000,3
Краснодар,12,12.0,60.0,50000000,3
Краснодар,1,5.0,62.0,12300000,5
Иркутск,4,12.0,62.7,14490000,4
Краснодар,1,5.0,62.4,14800000,4
Краснодар,5,5.0,60.0,15000000,2
Краснодар,4,7.0,60.3,17500000,3
Краснодар,4,5.0,60.2,17700000,1
Краснодар,1,4.0,61.7,18500000,4
Краснодар,3,6.0,62.0,20800000,4
Санкт-Петербург,2,10.0,60.0,23000000,1
Краснодар,4,6.0,60.0,25000000,4
Санкт-Петербург,10,21.0,62.0,26850000,2
Краснодар,5,13.0,60.0,27000000,2
Краснодар,7,11.0,62.4,28000000,2
Краснодар,5,6.0,60.6,28900000,2
Санкт-Петербург,3,4.0,60.0,35000000,2
Краснодар,3,5.0,61.0,13500000,3
Иркутск,7,12.0,60.0,13800000,3
Краснодар,5,5.0,61.4,15000000,5
Иркутск,3,12.0,62.2,15500000,4
Краснодар,1,5.0,60.0,15700000,1
Краснодар,6,9.0,62.5,18900000,1
Краснодар,6,6.0,60.0,19000000,4
Иркутск,7,9.0,63.3,15200000,5
Краснодар,8,8.0,64.8,12400000,5
Иркутск,2,14.0,63.0,15500000,5
Краснодар,3,5.0,64.2,18300000,3
Ярославль,1,9.0,64.0,11200000,2
Краснодар,3,3.0,63.0,13900000,5
Иркутск,7,16.0,63.0,14650000,1
Москва,5,7.0,63.0,14780000,2
Краснодар,4,6.0,64.3,17600000,3
Краснодар,2,6.0,63.0,22500000,1
Санкт-Петербург,6,14.0,63.1,24450000,1
Москва,7,7.0,64.0,24750000,2
Санкт-Петербург,7,17.0,63.0,28990000,1
Краснодар,7,10.0,64.0,29500000,3
Краснодар,4,8.0,63.9,29900000,3
Санкт-Петербург,7,10.0,63.0,35990000,1
Санкт-Петербург,7,10.0,63.0,36600000,1
Санкт-Петербург,2,5.0,63.9,36500000,2
Краснодар,7,10.0,63.3,18000000,1
Санкт-Петербург,6,44.0,66.1,19000000,1
Санкт-Петербург,9,13.0,65.4,27500000,1
Краснодар,4,6.0,65.0,16500000,4
Санкт-Петербург,5,21.0,65.3,17280000,3
Краснодар,5,7.0,65.5,19990000,5
Ярославль,4,12.0,66.1,18500000,1
Краснодар,5,11.0,66.1,26500000,3
Иркутск,2,12.0,67.0,12900000,2
Краснодар,1,5.0,66.0,14300000,4
Иркутск,4,12.0,65.0,18000000,5
Ярославль,4,12.0,66.0,18500000,1
Краснодар,4,4.0,67.5,21990000,9
Краснодар,4,4.0,65.4,22000000,5
Краснодар,2,5.0,65.0,22100000,2
Краснодар,5,6.0,67.0,22800000,2
Краснодар,3,9.0,65.5,24000000,2
Краснодар,6,9.0,66.0,30000000,2
Санкт-Петербург,11,85.0,65.0,31900000,1
Санкт-Петербург,11,85.0,65.0,31900000,1
Санкт-Петербург,14,24.0,65.0,38800000,3
Ярославль,3,16.0,65.5,13800000,4
Санкт-Петербург,2,16.0,65.0,15000000,4
Краснодар,2,5.0,67.0,17500000,4
Санкт-Петербург,3,14.0,67.0,17900000,4
Краснодар,5,7.0,66.0,18300000,16
Краснодар,7,15.0,66.4,18800000,3
Санкт-Петербург,10,19.0,67.1,18788000,1
Санкт-Петербург,38,65.0,68.0,28840100,1
Санкт-Петербург,37,65.0,68.0,28655970,1
Краснодар,2,12.0,69.0,21000000,5
Санкт-Петербург,33,44.0,68.0,21200000,1
Краснодар,5,7.0,68.0,45000000,1
Краснодар,7,8.0,69.2,12500000,5
Краснодар,2,8.0,69.0,20800000,3
Краснодар,5,12.0,69.0,22000000,3
Санкт-Петербург,2,10.0,68.8,28800000,1
Санкт-Петербург,5,8.0,69.2,39000000,3
Краснодар,1,6.0,68.0,18500000,8
Краснодар,7,7.0,70.0,18500000,7
Санкт-Петербург,25,44.0,69.0,18500000,1
Санкт-Петербург,5,10.0,68.3,28754300,1
Санкт-Петербург,4,8.0,70.0,35900000,4
Санкт-Петербург,3,6.0,68.0,69200000,1
Санкт-Петербург,3,14.0,72.0,27950000,1
Краснодар,5,12.0,72.0,38000000,7
Москва,5,25.0,70.0,23900000,1
Краснодар,3,6.0,70.0,24900000,1
Краснодар,7,12.0,72.0,49500000,1
Краснодар,1,5.0,71.2,17950000,7
Краснодар,1,3.0,70.3,20500000,6
Краснодар,8,8.0,72.0,20400000,5
Санкт-Петербург,6,17.0,72.71,52500000,2
Санкт-Петербург,3,6.0,70.4,25000000,5
Краснодар,1,5.0,72.1,15499999,6
Иркутск,3,22.0,72.5,19000000,3
Санкт-Петербург,7,7.0,70.0,20000000,4
Краснодар,3,14.0,70.5,20500000,4
Санкт-Петербург,2,5.0,72.1,20500000,4
Санкт-Петербург,2,8.0,71.0,23600000,5
Краснодар,3,6.0,70.4,25000000,5
Краснодар,5,5.0,71.0,25870000,4
Санкт-Петербург,7,79.0,72.0,25990000,1
Санкт-Петербург,7,79.0,72.0,26000000,1
Краснодар,4,8.0,72.6,26000000,1
Краснодар,4,7.0,72.9,29500000,3
Санкт-Петербург,5,7.0,72.8,30000000,5
Краснодар,2,4.0,71.0,32350000,6
Краснодар,1,2.0,72.0,33000000,2
Краснодар,6,8.0,70.0,42900000,1
Санкт-Петербург,6,17.0,72.71,52450000,2
Санкт-Петербург,3,10.0,74.0,20990000,1
Краснодар,3,6.0,73.0,23000000,8
Краснодар,11,14.0,73.5,28000000,3
Краснодар,9,14.0,73.1,18500000,3
Краснодар,2,4.0,73.0,18500000,3
Краснодар,4,5.0,74.0,19500000,2
Краснодар,5,5.0,74.0,19500000,2
Иркутск,1,16.0,74.0,20000000,2
Краснодар,3,5.0,74.0,21500000,4
Краснодар,2,6.0,74.0,23900000,5
Краснодар,2,5.0,73.4,25000000,4
Краснодар,9,15.0,74.2,26000000,5
Краснодар,8,12.0,73.0,59500000,2
Краснодар,5,5.0,73.6,16500000,8
Иркутск,7,17.0,74.4,19400000,1
Краснодар,6,17.0,74.0,20900000,5
Краснодар,7,10.0,73.0,24900000,4
Краснодар,8,16.0,75.0,26400000,4
Краснодар,9,9.0,75.0,27800000,4
Краснодар,6,10.0,74.3,29700000,2
Краснодар,8,14.0,75.0,34000000,6
Санкт-Петербург,2,7.0,75.0,35000000,1
Санкт-Петербург,13,14.0,74.0,40000000,4
Краснодар,5,14.0,73.0,39990000,1
Краснодар,1,5.0,76.0,20999000,6
Краснодар,12,14.0,77.2,25500000,3
Краснодар,1,8.0,76.2,22000000,8
Москва,7,21.0,75.0,31000000,1
Москва,2,3.0,76.0,41040000,1
Санкт-Петербург,10,12.0,76.2,50200000,2
Санкт-Петербург,3,5.0,77.0,29950000,3
Санкт-Петербург,8,21.0,77.73,35950000,1
Санкт-Петербург,5,7.0,76.0,48000000,1
Краснодар,4,8.0,77.0,27490000,1
Санкт-Петербург,5,5.0,76.7,16800000,4
Иркутск,15,17.0,77.4,16920000,3
Санкт-Петербург,2,5.0,77.2,19990000,5
Краснодар,3,5.0,76.0,21000000,2
Краснодар,11,11.0,77.0,25000000,4
Краснодар,1,4.0,75.6,26000000,3
Краснодар,9,15.0,75.4,26000000,6
Санкт-Петербург,8,21.0,77.73,37000000,1
Санкт-Петербург,9,12.0,76.1,38500000,3
Краснодар,3,5.0,75.5,13900000,3
Краснодар,7,7.0,76.6,14990000,4
Санкт-Петербург,4,29.0,76.0,15910000,1
Краснодар,3,5.0,75.5,17300000,4
Краснодар,3,8.0,75.6,17900000,2
Краснодар,8,8.0,75.0,21900000,4
Санкт-Петербург,38,40.0,77.5,22000000,3
Краснодар,1,8.0,78.6,29500000,3
Краснодар,6,12.0,78.0,46000000,1
Иркутск,3,17.0,79.4,23800000,3
Краснодар,6,7.0,78.0,21250000,3
Иркутск,11,11.0,79.0,22000000,3
Москва,3,13.0,79.7,22500000,2
Москва,20,24.0,78.0,28700000,1
Санкт-Петербург,3,9.0,78.6,30000000,4
Санкт-Петербург,19,21.0,79.1,45000000,1
Иркутск,6,17.0,80.0,22000000,2
Иркутск,6,16.0,80.0,24000000,4
Краснодар,9,12.0,78.8,26500000,2
Краснодар,6,9.0,80.0,27800000,6
Санкт-Петербург,69,97.0,79.5,34540000,1
Краснодар,8,8.0,80.9,22900000,6
Краснодар,4,10.0,82.4,25800000,5
Краснодар,3,26.0,80.7,26800000,5
Краснодар,16,16.0,80.0,49000000,1
Краснодар,3,5.0,82.0,64975000,2
Краснодар,1,6.0,82.0,23500000,6
Иркутск,2,13.0,81.0,15500000,7
Санкт-Петербург,3,10.0,80.8,15500000,4
Иркутск,8,10.0,82.7,16800000,5
Краснодар,1,5.0,80.0,18500000,5
Ярославль,12,14.0,80.0,18500000,2
Иркутск,11,14.0,82.4,19990000,5
Москва,4,9.0,81.0,20000000,5
Краснодар,8,9.0,82.7,22770000,2
Краснодар,2,8.0,82.5,26300000,4
Краснодар,5,8.0,81.0,27900000,4
Иркутск,5,5.0,82.0,31000000,4
Санкт-Петербург,6,8.0,81.0,39800000,1
Санкт-Петербург,9,13.0,80.0,44200000,4
Краснодар,1,5.0,80.7,19500000,4
Санкт-Петербург,6,23.0,84.0,21300000,2
Краснодар,6,9.0,84.8,16900000,4
Краснодар,2,5.0,83.5,19500000,6
Краснодар,1,4.0,84.0,22000000,4
Краснодар,10,12.0,84.4,44000000,3
Краснодар,2,5.0,83.1,19499000,7
Москва,16,16.0,83.0,21500000,4
Санкт-Петербург,12,12.0,85.12,71000000,1
Краснодар,5,6.0,85.6,49500000,4
Краснодар,5,6.0,86.0,44000000,2
Краснодар,3,8.0,85.0,39950000,6
Краснодар,2,8.0,86.0,29800000,5
Краснодар,2,3.0,85.7,23000000,7
Краснодар,5,7.0,86.0,16200000,3
Краснодар,6,7.0,86.1,19500000,3
Краснодар,5,6.0,86.2,20500000,6
Санкт-Петербург,15,17.0,85.1,24790000,14
Санкт-Петербург,3,6.0,85.5,24990000,10
Краснодар,9,10.0,85.0,36000000,3
Краснодар,7,11.0,87.7,36000000,6
Санкт-Петербург,38,77.0,87.6,37963000,4
Краснодар,5,7.0,85.0,38000000,2
Санкт-Петербург,37,79.0,88.0,40780500,4
Санкт-Петербург,3,10.0,89.9,22000000,3
Санкт-Петербург,33,44.0,88.0,33000000,1
Санкт-Петербург,3,10.0,89.9,22000000,3
Краснодар,1,14.0,89.0,18900000,5
Краснодар,2,5.0,89.0,19800000,8
Краснодар,1,8.0,88.8,21000000,14
Санкт-Петербург,2,5.0,88.5,29950000,4
Санкт-Петербург,3,8.0,90.0,80000000,5
Санкт-Петербург,3,10.0,89.9,22000000,3
Краснодар,3,10.0,90.0,23750000,5
Краснодар,3,5.0,90.0,26000000,3
Санкт-Петербург,6,16.0,90.0,27500000,8
Санкт-Петербург,40,44.0,89.0,28000000,1
Краснодар,3,4.0,90.0,37000000,5
Санкт-Петербург,12,20.0,90.0,36900000,1
Санкт-Петербург,15,17.0,90.0,37500000,2
Санкт-Петербург,38,64.0,88.0,37599000,1
Санкт-Петербург,38,76.0,89.1,37963000,7
Санкт-Петербург,3,3.0,89.0,59000000,4
Санкт-Петербург,3,13.0,93.0,49000000,1
Санкт-Петербург,12,23.0,90.0,22700000,2
Краснодар,2,9.0,90.0,23500000,6
Краснодар,8,11.0,91.0,33000000,5
Санкт-Петербург,7,21.0,93.0,62000000,1
Краснодар,7,7.0,91.3,34000000,8
Иркутск,9,14.0,92.0,23500000,3
Краснодар,3,5.0,92.0,28849999,7
Краснодар,11,12.0,94.1,29800000,5
Краснодар,5,5.0,92.0,34900000,8
Москва,6,8.0,93.8,39800000,1
Санкт-Петербург,10,11.0,91.9,41000000,1
Краснодар,5,7.0,90.0,47700000,6
Санкт-Петербург,3,13.0,93.0,49000000,1
Краснодар,3,13.0,93.0,49000000,2
Санкт-Петербург,3,21.0,93.0,49000000,2
Москва,3,12.0,94.1,49900000,2
Санкт-Петербург,8,23.0,96.0,26700000,5
Краснодар,3,4.0,99.0,31000000,3
Санкт-Петербург,3,3.0,97.6,24000000,5
Краснодар,5,6.0,96.7,44000000,1
Краснодар,2,8.0,96.5,32900000,1
Краснодар,3,13.0,100.0,33000000,3
Краснодар,3,13.0,100.0,33500000,4
Санкт-Петербург,6,13.0,97.0,48500000,1
Краснодар,2,12.0,98.0,48550000,4
Краснодар,5,7.0,100.0,27500000,5
Краснодар,1,6.0,95.0,30500000,1
Краснодар,2,5.0,95.0,32000000,1
Краснодар,5,5.0,99.9,18490000,6
Санкт-Петербург,4,6.0,98.0,27700000,9
Москва,2,7.0,97.0,30000000,1
Краснодар,5,7.0,100.0,29900000,5
Краснодар,5,9.0,98.0,31500000,1
Краснодар,2,6.0,95.0,35000000,1
Краснодар,11,11.0,95.0,39316472,4
Краснодар,11,11.0,100.0,39830000,2
Краснодар,2,8.0,100.0,42900000,10
Краснодар,2,8.0,100.0,42990000,1
Санкт-Петербург,7,10.0,100.0,57000000,3
Краснодар,4,5.0,100.0,70000000,1
Санкт-Петербург,10,12.0,100.0,72671000,1
Санкт-Петербург,4,12.0,104.7,55000000,13
Москва,7,14.0,116.0,88500000,1
Краснодар,3,6.0,118.0,36900000,1
Санкт-Петербург,5,5.0,107.3,41052980,1
Краснодар,2,6.0,102.6,50000000,8
Краснодар,3,6.0,110.0,62000000,8
Москва,5,11.0,112.0,78008874,3
Москва,5,9.0,100.0,35000000,5
Краснодар,3,8.0,116.0,36000000,1
Краснодар,3,4.0,104.0,21000000,4
Санкт-Петербург,2,6.0,100.0,28000000,7
Краснодар,4,8.0,100.9,31250000,12
Краснодар,6,6.0,106.0,32500000,8
Краснодар,1,16.0,117.8,32900000,9
Санкт-Петербург,37,44.0,115.0,37000000,1
Краснодар,2,4.0,110.6,37900000,3
Санкт-Петербург,11,12.0,100.0,39316472,5
Санкт-Петербург,9,18.0,112.0,45000000,1
Санкт-Петербург,6,7.0,116.0,53900000,3
Краснодар,3,3.0,109.0,56500000,10
Санкт-Петербург,3,7.0,112.0,56000000,3
Краснодар,8,10.0,110.8,66750000,7
Краснодар,8,10.0,110.8,66750000,7
Санкт-Петербург,5,12.0,107.0,71638517,4
Москва,4,12.0,120.0,73537002,1
Санкт-Петербург,4,7.0,111.0,75000000,2
Москва,7,17.0,118.0,83000000,3
Санкт-Петербург,6,7.0,126.0,87000000,4
