brand_id	date	receipts_count
29	2016-09-26	1063
5152	2016-09-27	91
178	2016-09-27	200
29	2016-09-27	784
5152	2016-09-28	107
178	2016-09-28	205
29	2016-09-28	558
5152	2016-09-29	115
178	2016-09-29	241
29	2016-09-29	514
5152	2016-09-30	126
178	2016-09-30	225
29	2016-09-30	522
5152	2016-10-01	101
178	2016-10-01	234
29	2016-10-01	549
5152	2016-10-02	120
178	2016-10-02	239
29	2016-10-02	596
5152	2016-10-03	117
178	2016-10-03	216
29	2016-10-03	506
5152	2016-10-04	114
178	2016-10-04	367
29	2016-10-04	533
5152	2016-10-05	112
178	2016-10-05	447
29	2016-10-05	521
5152	2016-10-06	109
178	2016-10-06	481
29	2016-10-06	609
5152	2016-10-07	127
178	2016-10-07	483
29	2016-10-07	600
5152	2016-10-08	116
178	2016-10-08	369
29	2016-10-08	580
5152	2016-10-09	114
178	2016-10-09	401
29	2016-10-09	617
5152	2016-10-10	147
178	2016-10-10	444
29	2016-10-10	588
5152	2016-10-11	141
178	2016-10-11	369
29	2016-10-11	537
5152	2016-10-12	173
178	2016-10-12	302
29	2016-10-12	549
5152	2016-10-13	166
178	2016-10-13	272
29	2016-10-13	555
5152	2016-10-14	186
178	2016-10-14	261
29	2016-10-14	593
5152	2016-10-15	184
178	2016-10-15	267
29	2016-10-15	625
5152	2016-10-16	193
178	2016-10-16	262
29	2016-10-16	580
5152	2016-10-17	209
178	2016-10-17	279
29	2016-10-17	522
5152	2016-10-18	214
178	2016-10-18	290
29	2016-10-18	745
5152	2016-10-19	210
178	2016-10-19	263
29	2016-10-19	920
5152	2016-10-20	236
178	2016-10-20	275
29	2016-10-20	861
5152	2016-10-21	203
178	2016-10-21	252
29	2016-10-21	811
5152	2016-10-22	220
178	2016-10-22	221
29	2016-10-22	728
5152	2016-10-23	209
178	2016-10-23	238
29	2016-10-23	639
5152	2016-10-24	206
178	2016-10-24	253
29	2016-10-24	613
5152	2016-10-25	203
178	2016-10-25	516
29	2016-10-25	556
5152	2016-10-26	212
178	2016-10-26	595
29	2016-10-26	501
5152	2016-10-27	194
178	2016-10-27	631
29	2016-10-27	472
5152	2016-10-28	192
178	2016-10-28	625
29	2016-10-28	476
5152	2016-10-29	239
178	2016-10-29	617
29	2016-10-29	502
5152	2016-10-30	246
178	2016-10-30	626
29	2016-10-30	529
5152	2016-10-31	255
178	2016-10-31	677
29	2016-10-31	496
5152	2016-11-01	277
178	2016-11-01	515
29	2016-11-01	620
5152	2016-11-02	381
178	2016-11-02	405
29	2016-11-02	440
5152	2016-11-03	349
178	2016-11-03	356
29	2016-11-03	419
5152	2016-11-04	329
178	2016-11-04	351
29	2016-11-04	456
5152	2016-11-05	315
178	2016-11-05	359
29	2016-11-05	445
5152	2016-11-06	324
178	2016-11-06	370
29	2016-11-06	393
5152	2016-11-07	408
178	2016-11-07	361
29	2016-11-07	372
5152	2016-11-08	363
178	2016-11-08	546
29	2016-11-08	342
5152	2016-11-09	357
178	2016-11-09	708
29	2016-11-09	372
5152	2016-11-10	349
178	2016-11-10	712
29	2016-11-10	381
5152	2016-11-11	424
178	2016-11-11	591
29	2016-11-11	443
5152	2016-11-12	416
178	2016-11-12	605
29	2016-11-12	472
5152	2016-11-13	460
178	2016-11-13	556
29	2016-11-13	496
5152	2016-11-14	342
178	2016-11-14	519
29	2016-11-14	423
5152	2016-11-15	347
178	2016-11-15	440
29	2016-11-15	396
5152	2016-11-16	332
178	2016-11-16	278
29	2016-11-16	390
5152	2016-11-17	349
178	2016-11-17	297
29	2016-11-17	428
5152	2016-11-18	328
178	2016-11-18	278
29	2016-11-18	434
5152	2016-11-19	332
178	2016-11-19	271
29	2016-11-19	514
5152	2016-11-20	306
178	2016-11-20	262
29	2016-11-20	492
5152	2016-11-21	339
178	2016-11-21	241
29	2016-11-21	432
5152	2016-11-22	399
178	2016-11-22	277
29	2016-11-22	420
5152	2016-11-23	319
178	2016-11-23	238
29	2016-11-23	425
5152	2016-11-24	364
178	2016-11-24	229
29	2016-11-24	407
5152	2016-11-25	365
178	2016-11-25	231
29	2016-11-25	459
5152	2016-11-26	323
178	2016-11-26	238
29	2016-11-26	518
5152	2016-11-27	359
178	2016-11-27	229
29	2016-11-27	493
5152	2016-11-28	294
178	2016-11-28	267
29	2016-11-28	856
5152	2016-11-29	351
178	2016-11-29	222
29	2016-11-29	1173
5152	2016-11-30	311
178	2016-11-30	227
29	2016-11-30	1301
